標題,連結,類別,內容,時間
土耳其淨外匯儲備跌為負值 自2002年以來首次,https://news.cnyes.com/news/id/5192855?exp=a,國際政經,"&lt;p&gt;根據周四 (25 日) 公布的官方數據顯示，土耳其中央銀行的淨外匯儲備，自 2002 年以來首次跌至負值區域，5 月 19 日為 - 1.513 億美元，因為在周日決選投票前外匯需求大增。&lt;/p&gt;

&lt;p&gt;現任總統艾爾段 (Recep Tayyip Erdogan) 在 5 月 14 日的總統選舉中，領先對手 Kemal Kilicdaroglu，但他的得票率略低於完全獲勝所需的 50%，因此將在 5 月 28 日進行最終選舉。&lt;/p&gt;

&lt;p&gt;土耳其的外匯需求在 5 月 14 日之前，飆升至創紀錄水準，原因是企業和個人預計，里拉在 2021 年和 2022 年分別下跌 44% 和 30% 後，將在投票後繼續暴跌。&lt;/p&gt;

&lt;p&gt;由於成本高昂的市場干預，和其他旨在冷卻外匯需求的努力，迫使土耳其央行的外匯儲備近年來有所下降。&lt;/p&gt;

&lt;p&gt;央行的淨外匯儲備在截至 5 月 19 日的一周內減少了 24.8 億美元，降至 2002 年 2 月以來的最低，自 2022 年底以來已減少 277 億美元。&lt;/p&gt;

&lt;p&gt;過去兩年，為保證增長、出口和投資，艾爾段要求央行實施非正統經濟政策，無視節節攀高的通膨而不選擇升息，造成土耳其里拉大幅貶值。&lt;/p&gt;
",2023/05/26 15:10
成霖董事長歐陽玄兼任總經理 力拚實現品牌成長,https://news.cnyes.com/news/id/5192859?exp=a,台股新聞,"&lt;p&gt;水五金及廚具廠商成霖 (9934-TW) 今 (26) 日召開股東常會會中並增選一席獨立董事。董事長歐陽玄指出， 2022 年是成霖集團製造轉型變革關鍵的一年，公司針對水五金製造進行策略轉型並提高競爭力；同時，歐陽玄將於 2024 年 1 月 1 日起兼任總經理，將了帶領公司進入下一階段 「以品牌領軍公司成長」&lt;/p&gt;

&lt;p&gt;歐陽玄指出，成霖將原先位於深圳的工廠搬遷到東莞，營運著重生產優化，研發升級及品質管控，將水五金生產轉型為彈性供應的輕資產模式，能精準且快速地回應市場及顧客需求。&lt;br&gt;
&nbsp;&lt;br&gt;
同時，成霖墨西哥陶瓷廠經過幾年改善，良率已經穩定提升，加上中國山東陶瓷廠持續優化成本結構提升競爭力； 整體陶瓷生產供應營運調整配置已經準備完成，成霖指出，規劃將可支援集團品牌成長及進入零售通路策略，同時等待原有批發通路市場需求恢復原先水平。&lt;/p&gt;

&lt;p&gt;成霖表示， 經歷大環境挑戰及內部營運結構調整到位，加上庫存去化接近循環尾端， 2023 年第二季起營運績效將開始回到正常軌道。&lt;br&gt;
&nbsp;&lt;br&gt;
成霖現任總經理托德泰爾伯特任期至 2023 年底屆滿解任，董事會決議由董事長歐陽玄於 2024 年 1 月 1 日起兼任總經理。&lt;/p&gt;

&lt;p&gt;歐陽玄表示，為了帶領公司進入下一階段 「以品牌領軍公司成長」，將用自身跨文化、 跨語言的溝通能力親自整合全球運營團隊，加上對公司主要北美市場熟悉，同時可以和亞洲生產團隊順暢溝通，及和墨西哥團隊過去三年培養出來的革命情感， 擔任總經理統籌整家公司營運是現階段最適合的安排。&lt;/p&gt;
",2023/05/26 15:07
台股周線連二紅 外資再補貨432億 三大法人合計買超460億 ,https://news.cnyes.com/news/id/5192860?exp=a,台股盤勢,"&lt;p&gt;台股今 (26) 日受惠台積電跳空上漲，領軍電子股續強，推升指數終場大漲 213.05 點或 1.31%，收在 16505.05 點，改寫近一年來新高，成交量更衝上 3754 億元，續寫波段新高，周線也連兩紅，三大法人同站買方，合計買超 460 億元。&lt;/p&gt;

&lt;p&gt;觀察三大法人今天籌碼動向，外資買超 432.74 億元；投信買超 4.12 億元；自營商買超 23.18 億元，三大法人買超 460 億元。&lt;/p&gt;
",2023/05/26 15:00
國壽Q1債券資本利得縮水八成 股債僅賺156億元入袋,https://news.cnyes.com/news/id/5192856?exp=a,台股新聞,"&lt;p&gt;國泰金 (2882-TW) 今 (26) 日召開法說會，首季資本利得較去年同期大舉減少，旗下國泰人壽今 (2023) 年第一季在股市實現利益 134 億元，債券實現利益更是只有 22 億元、年減高達八成，使得首季只有 156 億元股債利得入袋，較去年同期減少逾 44%，加上匯率避險成本高，成為國泰金第一季稅後純益年減超過七成兩大主因。&lt;/p&gt;

&lt;p&gt;去 (2022) 年第一季，台幣大幅貶值及金融市場仍活絡，墊高投資收益基期；而今年第一季避險成本升高及資本利得減少，一來一往之下，影響國泰金第一季稅後純益只有 72 億元，較去年同期的 344 億元、大舉減少 73%，每股稅後純益 0.48 元。&lt;/p&gt;

&lt;p&gt;國泰世華銀行核心獲利強健，第一季稅後純益創同期新高，年成長 33%；投信、證券稅後淨利創同期次高。&lt;/p&gt;

&lt;p&gt;保險業成為拖累國泰金首季營運的主因，不過，國泰金財務長陳晏如表示，雖然首季避險成本較高及資本利得減少，然經常性收益達「雙位數」成長、年成長 14%，保險本業維持穩健。&lt;/p&gt;

&lt;p&gt;國泰世華銀行第一季的淨利差 (NIM) 為 1.4%，受惠於升息，淨利差較去年同期的 1.21% 顯著提升；惟存款利率先行反應，淨利差較上季的 1.46% 下降。國泰世華銀表示，淨利差第一季會是谷底，未來會逐季往上。&lt;/p&gt;

&lt;p&gt;針對美債上限議題，國泰世華和國泰人壽均表示，美債部位很小，且國泰世華銀行沒有 6 月到期的部位，國泰人壽美國公債曝險部位 350 億元，而 6 月到期的僅有 2.5 億元，影響有限。&lt;/p&gt;

&lt;p&gt;而國泰產險獲利反映防疫保單理賠損失影響，惟防疫險理賠已近尾聲，4 月獲利回歸正常。&lt;/p&gt;

&lt;p&gt;國泰人壽在去年 10 月進行金融資產重分類，加上第一季股債金融資產評價回升，帶動淨值回升，淨值 4658 億元提高到 5362 億元。金融資產未實現損失從去年底的 2181 億元，縮小到損失 1462 億元。&lt;/p&gt;

&lt;p&gt;若以金控來看，國泰金帳面淨值單季彈升 841 億元、回到 6958 億元，但與 2021 年高檔 9140 億元相比仍有顯著差距，首季的普通股每股淨值也從去年底的 34.6 元、回升到 40.2 元。&lt;/p&gt;

&lt;p&gt;第 1 季避險成本 1.8% 相對較高，國壽發言人林昭廷指出，影響避險成本最重要因素還是台幣強弱，如果台幣轉強，資本成本就有壓力，但就 3 月到 5 月避險成本來看，已經比 1、2 月好很多，希望今年底避險成本可以維持在 1~1.5% 之間。&lt;/p&gt;

&lt;p&gt;國泰金今天也公布截至去年底的隱含價值 (EV)，由於去年資本市場股債波動大，國壽隱含價值跌破兆元、降到 9880 億元，年減 18%，國壽每股 EV 為 93.2 元，換算成金控每股 EV 為 74.9 元。&lt;/p&gt;
",2023/05/26 14:52
中國復甦弱於預期 市場押注央行很快政策放鬆,https://news.cnyes.com/news/id/5192847?exp=a,大陸政經,"&lt;p&gt;跡象表明，中國經濟在新冠疫情後的復甦正在失去動力，交易員押注，中國央行將很快採行寬鬆政策。&lt;/p&gt;

&lt;p&gt;本月數據顯示，中國工業產出、零售銷售和固定投資增長速度低於預期，而通膨接近於零，且消費者一直不願借貸，進口也大幅下滑，這增強了對更多政策支持的呼聲。&lt;/p&gt;

&lt;p&gt;預測一年後利率水準的 12 個月期利率交換成本 (IRS)，本周從兩個多月前的 2.47% 高位，下滑至 2.06%。 與此同時，中國國債繼續上漲，10 年期殖利率本周跌至 2.70% 的 6 個月低點。&lt;/p&gt;

&lt;p&gt;法國巴黎銀行資產管理駐香港策略師 Chi Lo 表示，中國人行不想回去向系統注入大量資金，但經濟可能不像他們想像的，那麼具有彈性。 「我們必須看到當局更有信心地告訴市場，我們真的是來保護增長的，而不僅僅是削減一個政策利率，而是所有的政策利率。」&lt;/p&gt;

&lt;p&gt;彭博調查的經濟學家下調中國經濟增長預期，他們表示，隨着經濟復甦失去動力，中國央行可能會比預期更早地降低主要銀行的存款準備金率。&lt;/p&gt;

&lt;p&gt;根據預測中值，中國人行預計將在 2023 年第三季末，將主要銀行的存款準備金率下調 25 個基點，從 10.75% 降至 10.5%。&lt;/p&gt;

&lt;p&gt;野村控股建議其客戶購買中國政府債券，因為疲軟的經濟可能會進一步壓低殖利率。&lt;/p&gt;

&lt;p&gt;該銀行建議購買中國 5 年期國債，目標是在 7 月中旬之前其利率降至 2.30%，它在周四收於 2.47%。&lt;/p&gt;

&lt;p class=&quot;warning&quot;&gt;&lt;em&gt;(本文不開放合作夥伴轉載)&lt;/em&gt;&lt;/p&gt;
",2023/05/26 14:50
和碩前進Computex 攜手恩智浦推出智慧座艙解決方案,https://news.cnyes.com/news/id/5192845?exp=a,台股新聞,"&lt;p&gt;和碩 (4938-TW) 今 (26) 日宣布，與車用晶片大廠恩智浦合作，推出智慧座艙解決方案，此次智慧座艙新品採用恩智浦車用微控制器 (MCU) 與 微處理器 (MPU) 晶片，持續擴大車用產品陣容。&lt;/p&gt;

&lt;p&gt;和碩表示，此次智慧座艙使用恩智浦供 i.MX 8 系列應用處理器與 S32K 通用微控制器晶片，透過導入感測器、輔助晶片，加速公司快速開發智慧電子與車用電子產品。&lt;/p&gt;

&lt;p&gt;和碩表示，透過恩智浦晶片導入，此次智慧座艙解決方案包含智慧多功能螢幕、智慧警報與輔助系統、盲點偵測系統、車道偏離警示系統、疲勞駕駛預警系統，以及車載監控作業系統。&lt;/p&gt;

&lt;p&gt;恩智浦指出，恩智浦單晶片與微控制器解決方案，透過整合進一步提升運算效率與效能，融合多種重要技術，進而實現車聯網新時代。&lt;/p&gt;
",2023/05/26 14:49
〈房產〉全台住宅平均屋齡32歲 每2間住宅就有1間屋齡超過30年,https://news.cnyes.com/news/id/5192848?exp=a,台灣房市,"&lt;p&gt;依不動產資訊平台資料顯示，2023 年第一季全台住宅平均屋齡已達 32 年，其中就有高達 462 萬戶的屋齡在 30 年以上，比例達到 51%，每 2 間就有 1 間屋齡 30 年以上，顯見國人住在老房子狀況普遍，北市 30 年以上的房子占比更高達 72%，至於全台屋齡 10 年內的住宅比例僅有 12.1%，僅有少數的家庭有機會住在 10 年內的房屋。&lt;/p&gt;

&lt;p&gt;信義房屋 (9940-TW) 不動產企研室專案經理曾敬德表示，台北市的屋齡老舊，加上缺乏大型重劃區供給，新房屋供給量相對較少，加上房價水準也是六都之冠，一般受薪階層難以購屋自用，即使是有間老公寓的住戶，換到周邊的新大樓也面臨房價問題，同樣的室內面積加上公設，坪數放大，加上單價又比公寓更高，拚了一輩子的屋主也可能不想再背負過多房貸，因此常見的就是沿著捷運往外找新房子，不然就是住在本來的老宅內，等看看是否有更新的機會。&lt;/p&gt;

&lt;p&gt;統計顯示，今年第一季全台住宅平均屋齡 32 年，房屋稅籍住宅類共 910 萬戶，主要都會區平均屋齡最大的是台北市 36.87 年，六都僅台中市與桃園市的住宅屋齡平均不到 30 年，北市有 72% 住宅屋齡都在 30 年以上，最年輕的是桃園市，僅有約 35% 房屋屋齡在 30 年以上，至於全台屋齡 10 年內，六都比例最高的是桃園市的 17.7%，台中市的 15.2%，台北市佔比僅有 6%，在台北市想要入住屋齡 10 年內房子的難度是六都之冠。&lt;/p&gt;

&lt;p&gt;比較值得留意的是，全台住宅老化狀況越來越為嚴峻，全台有 101 萬戶屋齡超過 50 年，比例最高的是台北市，有 13.7% 屋齡 50 年以上，最少的是桃園市僅有 4.5%，不過台北市即使老房子多，只要地段精華，銀行仍願意給予較好的貸款條件，但若是雙北以外的老房子，銀行放款就會謹慎很多。&lt;/p&gt;

&lt;p&gt;曾敬德指出，有鑑於早年興建的住宅逐漸老化，可能抗震、防災等條件較差，政府積極推動都更與危老改建，不過改建還是在高房價區相對較容易推動，或者雙北以外的大地坪產品，比較有改建機會。&lt;/p&gt;

&lt;figure&gt;&lt;img data-height=&quot;440&quot; data-mime=&quot;image/jpeg&quot; data-ratio=&quot;1.7272727272727273&quot; data-src-m=&quot;https://cimg.cnyes.cool/prod/news/5192848/m/865ba7188db643070f444611f8628600.jpg&quot; data-width=&quot;760&quot; src=&quot;https://cimg.cnyes.cool/prod/news/5192848/l/865ba7188db643070f444611f8628600.jpg&quot;&gt;&lt;/figure&gt;

&lt;p&gt;&nbsp;&lt;/p&gt;
",2023/05/26 14:36
製鎖大廠台灣福興也將赴東南亞設立新廠 預計2025年投產,https://news.cnyes.com/news/id/5192819?exp=a,台股新聞,"&lt;p&gt;除電子業 PCB 廠、EMS 廠之外，製鎖大廠台灣福興 (9924-TW) 也將在兩岸之外赴東南亞國家另建立生產基地，投資金額 4500 萬美元，預估 2025 年開始投產，可望成為另一重要生產基地。同時，台灣福興預估下半年的出貨力道將逐漸好轉，表現應可漸入佳境。&lt;/p&gt;

&lt;p&gt;台灣福興發言人李國偉表示，公司對於赴東南亞投資設立新生產基地，內部已成立專案評估小組，並對馬來西亞、印尼、泰國、越南、菲律賓等地區進行實地的考查過，預估在 6 月正式敲定投資設立新廠地點。&lt;/p&gt;

&lt;p&gt;台灣福興目前在兩岸都有生產基地，年產能最高達 5000 萬組門鎖，台灣福興預估在東南亞設立的新廠 2025 年開始投產，建立第三個門鎖生產基地。新廠將規劃為一設備自動化、製程智慧化的智能工廠可望成為另一重要之生產基地。&lt;/p&gt;

&lt;p&gt;同時，台灣福興今 (26) 日召開股東常會，通過配發每股 2.9 元現金股利；會中也完成董事改選，原董事會成員全數續任，隨後舉行之董事會中，新選任董事一致推舉林瑞章續任董事長。台灣福興產品以外銷為主，2022 年受惠於美元走強，帶動毛利率提升至近 20% 水準，加上業外 2.6 億元匯兌利益挹注，全年每股純益 4.83 元，創金融海嘯以來新高紀錄；現金股利殖利率 6.6 %，維持高殖利率表現。&lt;/p&gt;

&lt;p&gt;李國偉表示，台灣福興主要市場以北美為主，佔外銷比重約 70%。受美國聯準會自 2022 下半年開始強勢升息抑制通膨，造成消費排擠效應，連帶影響了庫存去化速度，也反映在 2023 年第一季近 20% 的業績衰退表現。但好消息是升息已近尾聲，市場終端庫存也逐漸去化，預估下半年的出貨力道將逐漸好轉，表現應可漸入佳境。&lt;/p&gt;
",2023/05/26 14:35
調查：專家預計日本央行將維持YCC政策至2024年,https://news.cnyes.com/news/id/5192818?exp=a,國際政經,"&lt;p&gt;一項最新調查顯示，四分之三的經濟學家認為，日本央行 (BOJ) 可能至少在明年之前，會繼續維持殖利率曲線控制 (YCC) 政策，主因是對新任總裁植田和男近期改變政策的預期降低。&lt;/p&gt;

&lt;p&gt;植田在 4 月首次以總裁身分召開會議，並且認為短期內難以實現 2% 的通膨目標，因此維持央行的超低利率不變。其最新的談話，依舊未改變這一基調，強調不會倉促改變政策。&lt;/p&gt;

&lt;p&gt;然而，在《路透》的調查中，超過一半的分析師預計日本央行將在 7 月底前開始退出寬鬆計畫，並採取擴大殖利率上限或縮短目標期限等措施，以減輕 YCC 的副作用。&lt;/p&gt;

&lt;p&gt;5 月 17 日至 24 日的民意調查顯示，24 位經濟學家中，只有 6 位或 25% 表示日本央行將在今年結束 YCC，遠低於 4 月調查時的 56%。 5 位 (21%) 預計它會在 2024 年上半年發生，6 位 (25%) 選擇 2024 年下半年，另外 5 位選擇「2025 年或更晚」。&lt;/p&gt;

&lt;p&gt;另有兩位經濟學家 (8%) 選擇了「日本央行不會結束 YCC」的選項，這在前次調查中無人選擇。&lt;/p&gt;

&lt;p&gt;信金中央銀行綜合研究所高級經濟學家 Takumi Tsunoda 表示，隨著全球經濟不確定性的增加，政策急劇轉變帶來的風險不小，他認為央行將對 YCC 進行微調，並維持這一政策至 2024 年初。&lt;/p&gt;

&lt;p&gt;Oxford Economics 資深日本經濟學家 Norihiro Yamaguchi 表示，在日本央行多年的量化寬鬆政策正常化過程中，YCC「將繼續作為防止殖利率可能超調的保障措施」。&lt;/p&gt;

&lt;p&gt;與此同時，24 位經濟學家中有 10 位 (42%) 表示，日本央行將在 7 月開始縮減其超寬鬆政策，其次是 4 位 (17%) 預計這種轉變甚至會在 6 月早些時候發生。&lt;/p&gt;

&lt;p&gt;日元匯率周四一度跌至 140.23，為 11 月 23 日以來最低，隨後收復部分跌幅，周五上漲 0.2% 至 139.82。日元兌美元匯率今年下跌了 6.2%。&lt;/p&gt;
",2023/05/26 14:30
上看4.5萬美元？摩根大通：黃金價格+區塊減半 比特幣可望上漲,https://news.cnyes.com/news/id/5192303?exp=a,幣圈,"&lt;p&gt;摩根大通策略師指出，比特幣 5 月大部分時間走跌，但近期黃金走勢若能當指引，那麼比特幣應該就快走高。&lt;/p&gt;

&lt;p&gt;一些投資者認為比特幣和黃金可以互換，兩者都應可保值和通膨避險作用，儘管加密貨幣實際上這些功能一直欠佳，近期雖然加密貨幣仍有散戶買進，但機構投資者大部分仍堅持購買黃金。&lt;/p&gt;

&lt;p&gt;即使納入此偏好考量，若假設比特幣和黃金可以互換，以黃金當前略低於每盎司 2000 美元的價格，意味著比特幣價格應為 45000 美元，較比特幣當前約 26200 美元的水準高出不少，&lt;/p&gt;

&lt;p&gt;當然，比特幣被用於價值儲存僅 14 年時間，而黃金早已有數千年歷史，因此這個前提假設有些不牢靠。&lt;/p&gt;

&lt;p&gt;比特幣價格另一個潛在支撐力可能來自明年 4 月或 5 月的「區塊減半」，區塊減半是指降低單位時間內生成加密貨幣單元的過程。 具體而言，區塊減半將減少提供給礦工的區塊獎勵，從而實現的周期性區塊減半事件。&lt;/p&gt;

&lt;p&gt;分析師寫道，在其他條件相同的情況下，區塊減半會讓比特幣的開採成本上升一倍，達到約 4 萬美元。過去，生產成本一直是加密貨幣價格的下限。&lt;/p&gt;

&lt;p&gt;但這不代表摩根大通分析師看漲數位資產。短期內比特幣和其他加密貨幣均面臨嚴厲的監管抨擊，恐令機構更難持有加密貨幣，也令產業發展更加困難。加密貨幣交易平台 FTX 倒閉，令各加密貨幣價格潰敗，過去幾年涉足加密貨幣領域的多數投資者都僅能認賠出場。&lt;/p&gt;

&lt;p&gt;該分析師寫道：「美國監管單位的打擊是一大不利因素，加密生態系統銀行網絡的不穩定以及去年 FTX 崩潰，這些都可能縮限加密貨幣潛在的上行空間。」&lt;/p&gt;
",2023/05/26 14:11
末日博士：通膨還會持續更久 別指望央行降息,https://news.cnyes.com/news/id/5192773?exp=a,國際股,"&lt;p&gt;有「末日博士」稱號的著名經濟學家魯比尼 (Nouriel Roubini) 表示，投資者認為央行將很快停止緊縮政策是錯誤的，因為通膨將在更長時間內保持黏性。&lt;/p&gt;

&lt;p&gt;相反地，他認為，隨著全球物價居高不下，市場應該預期央行會做出更多打擊通膨的承諾。&lt;/p&gt;

&lt;p&gt;魯比尼指出，從股市的反應，人們似乎認為央行已經結束升息，利率只會進一步縮減。但他預測，聯準會等各國央行可能會在 6 月份，再次提高利率。&lt;/p&gt;

&lt;p&gt;本月早前，標普 500 指數觸及 4200 點，為去年 8 月以來首次。 儘管宏觀經濟前景不明朗，但該指數今年迄今仍上漲了 8%。&lt;/p&gt;

&lt;p&gt;魯比尼認為，世界各地通膨仍然嚴重，今年最大的驚喜將是&mdash;通膨不會像央行預期的那樣下降。&lt;/p&gt;

&lt;p&gt;他補充說，各國央行將因此不得不做出艱難的選擇，要麼升息，去面臨更多硬著陸和金融不穩定的風險，又或者不升息，但隨後通膨與通膨預期就難以錨定。&lt;/p&gt;

&lt;p&gt;自 2022 年 3 月以來，美國聯準會已經升息 10 次，以努力抑制通膨並為經濟降溫。 央行官員將在下個月再次召開政策會議，討論聯準會的下一步行動。&lt;/p&gt;

&lt;p&gt;魯比尼指出，市場預期，由於市場可能會出現短暫而輕微的衰退，這將導致央行在稍後降息，但央行會說的卻是&mdash;打擊通膨工作尚未完成，今年不會降息。&lt;/p&gt;

&lt;p&gt;周四的最新數據顯示，交易員們押注聯準會未來兩次會議將至少升息一次。與聯準會掛鉤的互換合約顯示，交易員預期 7 月的有效聯邦基金利率升至 5.37%，比當前的水準高出了 25 個基點。&lt;/p&gt;
",2023/05/26 13:50
中國國產大飛機C919 5/28商業航班首飛,https://news.cnyes.com/news/id/5192750?exp=a,A股,"&lt;p&gt;中國東航 (&lt;a data-symbol-template=&quot;CNS:600115:STOCK:COMMON&quot; href=&quot;#&quot;&gt;600115-CN&lt;/a&gt;) 敲定首架 C919 客機商業首航航班，定 5 月 28 日執飛上海虹橋 - 北京首都航線，計劃 10 時 45 分起飛，下午 1 時 10 分抵達首都機場。&lt;/p&gt;

&lt;p&gt;據《頂端新聞》報導，東航應用程式（App）顯示，東航敲定首架 C919 客機（B-919A）商業首航航班，班次為 MU9191 上海虹橋 - 北京首都，MU9192 北京首都 - 上海虹橋，而 MU9192 的起飛時間為下午 2 時 50 分，抵達時間為下午 5 時 15 分。&lt;/p&gt;

&lt;p&gt;中國東航副董事長李養民在業績說明會上表示，「我們對 C919 非常有信心！」公司與商飛在 2021 年 3 月正式簽署五架 C919 客機採購協議，首架 C919 飛機已於去年底交機，預計將於近期投入實際營運。&lt;/p&gt;

&lt;p&gt;東航擬在 2022 與 2023 年完成五架 C919 引進，並將根據實際營運情況和公司航網規劃，決定後續引進計畫。東航年報則顯示，今年東航將接收四架 C919 飛機。&lt;/p&gt;

&lt;p&gt;去年 12 月 9 日，東航作為 C919 全球首發用戶，正式接收編號為「B-919A」的全球首架 C919 飛機。首架機還有著特殊塗裝和專屬「身份證號」。除了東航標準化塗裝，這架飛機在機身前部印有「全球首架」的「中國印」標識和對應英文。飛機註冊號為「B-919A」，B 代表中國民航飛機，919 和型號名稱契合，A 則有首架之意，彰顯全球首架非凡意義。&lt;/p&gt;

&lt;p&gt;東航全球首架 C919 採用 164 座兩艙布局，包括八個商務艙和 156 個經濟艙，均選用完全自主研發的新一代國產客艙座椅。&lt;/p&gt;
",2023/05/26 13:46
〈台股盤後〉「積」情四射再發威 強漲213點收16505點 寫近一年新高,https://news.cnyes.com/news/id/5192774?exp=a,台股新聞,"&lt;p&gt;台股今 (26) 日受惠台積電跳空上漲，領軍電子股續強，推升指數終場大漲 213.05 點或 1.31%，收在 16505.05 點，改寫近一年來新高，成交量更衝上 3754 億元，續寫波段新高，周線也連兩紅。&lt;/p&gt;

&lt;p&gt;權值股由電子權值股領軍，台積電 (2330-TW)(TSM-US) 上漲超過 4%，創 13 個月來新高，聯發科 (2454-TW) 也強漲超過 3%，站回所有均線，其他如台達電 (2308-TW)、聯電(2303-TW) 與日月光投控 (3711-TW) 皆爆量大漲，金控雙雄也小漲表態，為大盤走勢增溫。&lt;/p&gt;

&lt;p&gt;成交重心方面，隨著輝達唱旺 AI 伺服器，相關概念股再度上攻，M31 亮燈漲停，緯創飆漲 5%，創下 14 年來新高，創意再漲逾 3%、飆上新天價，其他如技嘉、欣興、建準、廣達、奇鋐、緯穎全面勁揚。&lt;/p&gt;

&lt;p&gt;另外，封測供應鏈在 AI 議題延燒下，今日在龍頭日月光投控表態下，台星科直衝漲停，京元電也大漲 6%，其他如超豐、精材、欣銓、南茂、矽格、華泰等全部一片紅通通。&lt;/p&gt;
",2023/05/26 13:44
南非央行再度升息2碼 南非幣卻重摔到歷史新低,https://news.cnyes.com/news/id/5192299?exp=a,外匯,"&lt;p&gt;南非央行周四 (25 日) 再度大幅升息 2 碼 (50 個基點)，但投資人擔憂激進升息將衝擊南非的經濟成長前景，南非幣未升反貶，重挫到歷史低點。&lt;/p&gt;

&lt;p&gt;南非準備銀行 (SARB) 周四升息後，基準利率達到 8.25%，創金融海嘯以來最高。央行表示，為了壓制通膨，有必要實施限制經濟成長的貨幣政策，並警告，南非蘭德可能進一步下滑。&lt;/p&gt;

&lt;p&gt;南非因為前所未見的電力短缺，今年經濟成長率預估僅 3%，央行的大舉升息可能讓脆弱的經濟承受更大壓力。&lt;/p&gt;

&lt;p&gt;南非蘭德兌美元盤中最深貶 2.6% 至 19.7640 蘭德兌 1 美元，摜破上周低點，當時因美國指控南非軍援俄羅斯，南非幣曾貶到 19.33 蘭德。&lt;/p&gt;

&lt;p&gt;南非公債殖利率曲線趨於陡峭，反映交易員預期經濟成長降溫，2044 年到期證券的殖利率上揚 11 個基點。不過南非股市上漲 0.8%，因南非幣走軟提振出口商股價，精品業者歷峰 (Richemont) 上漲 4.2%，多角化經營礦商英美資源集團 (Anglo American) 則上漲 2.4%。&lt;/p&gt;

&lt;p&gt;富國證券駐紐約新興市場策略師 Brendan McKenna 說：「南非經濟的健康與否，是此刻最大的疑慮。現在找不到一個有說服力的理由，把資金配置在南非和南非幣。南非蘭德在今年大部分時間都是表現最差的新興市場貨幣，再考量到南非央行的發言，預料蘭德將持續走軟。」&lt;/p&gt;

&lt;p&gt;彭博的預測模型顯示，南非蘭德兌美元下周貶破 20 大關的機率為 53%，從央行周四公布決議前的僅 6.8% 大幅竄升。&lt;/p&gt;

&lt;p&gt;南非央行五人決策小組周四一致投票支持升息 2 碼，是 2021 年 9 月以來首度出現的無異議決策。從 2021 年 11 月迄今，該央行共已升息 475 個基點 (19 碼)，是至少 20 年來最激進的升息循環。&lt;/p&gt;

&lt;p&gt;Rand Merchant Bank 駐約翰尼斯堡的固定收益分析師 Michelle Wohlberg 說：「蘭德應該在升息後走強，但從蘭德乏力的表現看來，市場似乎認為央行可能釀成政策錯誤。殖利率曲線在升息後大幅變陡，代表投資人除了擔憂經濟成長展望，也開始對財政感到焦慮。」&lt;/p&gt;

&lt;p class=&quot;warning&quot;&gt;(本文不開放合作夥伴轉載)&lt;/p&gt;
",2023/05/26 13:19
